衿 365E B6DE U+887F
襟 365F B6DF U+895F
謹 3660 B6E0 U+8B39
近 3661 B6E1 U+8FD1
金 3662 B6E2 U+91D1
吟 3663 B6E3 U+541F
銀 3664 B6E4 U+9280
九 3665 B6E5 U+4E5D
倶 3666 B6E6 U+5036
句 3667 B6E7 U+53E5
区 3668 B6E8 U+533A
狗 3669 B6E9 U+72D7
玖 366A B6EA U+7396
矩 366B B6EB U+77E9
苦 366C B6EC U+82E6
躯 366D B6ED U+8EAF
駆 366E B6EE U+99C6
駈 366F B6EF U+99C8
駒 3670 B6F0 U+99D2
具 3671 B6F1 U+5177
愚 3672 B6F2 U+611A
虞 3673 B6F3 U+865E
喰 3674 B6F4 U+55B0
空 3675 B6F5 U+7A7A
偶 3676 B6F6 U+5076
寓 3677 B6F7 U+5BD3
遇 3678 B6F8 U+9047
隅 3679 B6F9 U+9685
串 367A B6FA U+4E32
櫛 367B B6FB U+6ADB
釧 367C B6FC U+91E7
屑 367D B6FD U+5C51
屈 367E B6FE U+5C48
掘 3721 B7A1 U+6398
窟 3722 B7A2 U+7A9F
沓 3723 B7A3 U+6C93
靴 3724 B7A4 U+9774
轡 3725 B7A5 U+8F61
窪 3726 B7A6 U+7AAA
熊 3727 B7A7 U+718A
隈 3728 B7A8 U+9688
粂 3729 B7A9 U+7C82
栗 372A B7AA U+6817
繰 372B B7AB U+7E70
桑 372C B7AC U+6851
鍬 372D B7AD U+936C
勲 372E B7AE U+52F2
君 372F B7AF U+541B
薫 3730 B7B0 U+85AB
訓 3731 B7B1 U+8A13
群 3732 B7B2 U+7FA4
軍 3733 B7B3 U+8ECD
郡 3734 B7B4 U+90E1
卦 3735 B7B5 U+5366
袈 3736 B7B6 U+8888
祁 3737 B7B7 U+7941
係 3738 B7B8 U+4FC2
傾 3739 B7B9 U+50BE
刑 373A B7BA U+5211
兄 373B B7BB U+5144
啓 373C B7BC U+5553
圭 373D B7BD U+572D
珪 373E B7BE U+73EA
型 373F B7BF U+578B
契 3740 B7C0 U+5951
形 3741 B7C1 U+5F62
径 3742 B7C2 U+5F84
恵 3743 B7C3 U+6075
慶 3744 B7C4 U+6176
慧 3745 B7C5 U+6167
憩 3746 B7C6 U+61A9
掲 3747 B7C7 U+63B2
携 3748 B7C8 U+643A
敬 3749 B7C9 U+656C
景 374A B7CA U+666F
桂 374B B7CB U+6842
渓 374C B7CC U+6E13
畦 374D B7CD U+7566
稽 374E B7CE U+7A3D
系 374F B7CF U+7CFB
経 3750 B7D0 U+7D4C
継 3751 B7D1 U+7D99
繋 3752 B7D2 U+7E4B
罫 3753 B7D3 U+7F6B
茎 3754 B7D4 U+830E
荊 3755 B7D5 U+834A
蛍 3756 B7D6 U+86CD
計 3757 B7D7 U+8A08
詣 3758 B7D8 U+8A63
警 3759 B7D9 U+8B66
軽 375A B7DA U+8EFD
頚 375B B7DB U+981A
鶏 375C B7DC U+9D8F
芸 375D B7DD U+82B8
迎 375E B7DE U+8FCE
鯨 375F B7DF U+9BE8
劇 3760 B7E0 U+5287
戟 3761 B7E1 U+621F
撃 3762 B7E2 U+6483
激 3763 B7E3 U+6FC0
隙 3764 B7E4 U+9699
桁 3765 B7E5 U+6841
傑 3766 B7E6 U+5091
欠 3767 B7E7 U+6B20
決 3768 B7E8 U+6C7A
潔 3769 B7E9 U+6F54
穴 376A B7EA U+7A74
結 376B B7EB U+7D50
血 376C B7EC U+8840
訣 376D B7ED U+8A23
月 376E B7EE U+6708
件 376F B7EF U+4EF6
倹 3770 B7F0 U+5039
倦 3771 B7F1 U+5026
健 3772 B7F2 U+5065
兼 3773 B7F3 U+517C
券 3774 B7F4 U+5238
剣 3775 B7F5 U+5263
喧 3776 B7F6 U+55A7
圏 3777 B7F7 U+570F
堅 3778 B7F8 U+5805
嫌 3779 B7F9 U+5ACC
建 377A B7FA U+5EFA
憲 377B B7FB U+61B2
懸 377C B7FC U+61F8
拳 377D B7FD U+62F3
捲 377E B7FE U+6372
検 3821 B8A1 U+691C
権 3822 B8A2 U+6A29
牽 3823 B8A3 U+727D
犬 3824 B8A4 U+72AC
献 3825 B8A5 U+732E
研 3826 B8A6 U+7814
硯 3827 B8A7 U+786F
絹 3828 B8A8 U+7D79
県 3829 B8A9 U+770C
肩 382A B8AA U+80A9
見 382B B8AB U+898B
謙 382C B8AC U+8B19
賢 382D B8AD U+8CE2
軒 382E B8AE U+8ED2
遣 382F B8AF U+9063
鍵 3830 B8B0 U+9375
険 3831 B8B1 U+967A
顕 3832 B8B2 U+9855
験 3833 B8B3 U+9A13
鹸 3834 B8B4 U+9E78
元 3835 B8B5 U+5143
原 3836 B8B6 U+539F
厳 3837 B8B7 U+53B3
幻 3838 B8B8 U+5E7B
弦 3839 B8B9 U+5F26
減 383A B8BA U+6E1B
源 383B B8BB U+6E90
玄 383C B8BC U+7384
現 383D B8BD U+73FE
絃 383E B8BE U+7D43
舷 383F B8BF U+8237
言 3840 B8C0 U+8A00
諺 3841 B8C1 U+8AFA
限 3842 B8C2 U+9650
乎 3843 B8C3 U+4E4E
個 3844 B8C4 U+500B
古 3845 B8C5 U+53E4
呼 3846 B8C6 U+547C
固 3847 B8C7 U+56FA
姑 3848 B8C8 U+59D1
孤 3849 B8C9 U+5B64
己 384A B8CA U+5DF1
庫 384B B8CB U+5EAB
弧 384C B8CC U+5F27
戸 384D B8CD U+6238
故 384E B8CE U+6545
枯 384F B8CF U+67AF
湖 3850 B8D0 U+6E56
狐 3851 B8D1 U+72D0
糊 3852 B8D2 U+7CCA
袴 3853 B8D3 U+88B4
股 3854 B8D4 U+80A1
胡 3855 B8D5 U+80E1
菰 3856 B8D6 U+83F0
虎 3857 B8D7 U+864E
誇 3858 B8D8 U+8A87
跨 3859 B8D9 U+8DE8
鈷 385A B8DA U+9237
雇 385B B8DB U+96C7
顧 385C B8DC U+9867
鼓 385D B8DD U+9F13
五 385E B8DE U+4E94
互 385F B8DF U+4E92
伍 3860 B8E0 U+4F0D
午 3861 B8E1 U+5348
呉 3862 B8E2 U+5449
吾 3863 B8E3 U+543E
娯 3864 B8E4 U+5A2F
後 3865 B8E5 U+5F8C
御 3866 B8E6 U+5FA1
悟 3867 B8E7 U+609F
梧 3868 B8E8 U+68A7
檎 3869 B8E9 U+6A8E
瑚 386A B8EA U+745A
碁 386B B8EB U+7881
語 386C B8EC U+8A9E
誤 386D B8ED U+8AA4
護 386E B8EE U+8B77
醐 386F B8EF U+9190
乞 3870 B8F0 U+4E5E
鯉 3871 B8F1 U+9BC9
交 3872 B8F2 U+4EA4
佼 3873 B8F3 U+4F7C
侯 3874 B8F4 U+4FAF
候 3875 B8F5 U+5019
倖 3876 B8F6 U+5016
光 3877 B8F7 U+5149
公 3878 B8F8 U+516C
功 3879 B8F9 U+529F
効 387A B8FA U+52B9
勾 387B B8FB U+52FE
厚 387C B8FC U+539A
口 387D B8FD U+53E3
向 387E B8FE U+5411
后 3921 B9A1 U+540E
喉 3922 B9A2 U+5589
坑 3923 B9A3 U+5751
垢 3924 B9A4 U+57A2
好 3925 B9A5 U+597D
孔 3926 B9A6 U+5B54
孝 3927 B9A7 U+5B5D
宏 3928 B9A8 U+5B8F
工 3929 B9A9 U+5DE5
巧 392A B9AA U+5DE7
巷 392B B9AB U+5DF7
幸 392C B9AC U+5E78
広 392D B9AD U+5E83
庚 392E B9AE U+5E9A
康 392F B9AF U+5EB7
弘 3930 B9B0 U+5F18
恒 3931 B9B1 U+6052
慌 3932 B9B2 U+614C
抗 3933 B9B3 U+6297
拘 3934 B9B4 U+62D8
控 3935 B9B5 U+63A7
攻 3936 B9B6 U+653B
昂 3937 B9B7 U+6602
晃 3938 B9B8 U+6643
更 3939 B9B9 U+66F4
杭 393A B9BA U+676D
校 393B B9BB U+6821
梗 393C B9BC U+6897
構 393D B9BD U+69CB
江 393E B9BE U+6C5F
洪 393F B9BF U+6D2A
浩 3940 B9C0 U+6D69
港 3941 B9C1 U+6E2F
溝 3942 B9C2 U+6E9D
甲 3943 B9C3 U+7532
